x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005
,,,,1753088356.796,0.61,,,1756964176.281,0.65,,
,,,,1753088372.186,0.62,,,1756964191.671,0.65,,
,,,,1753088387.576,0.62,,,1756964207.061,0.65,,
,,,,1753088402.966,0.62,,,1756964222.451,0.64,,
,,,,1753088418.356,0.62,,,1756964237.841,0.65,,
,,,,1753088433.746,0.63,,,1756964253.241,0.65,,
,,,,1753088449.127,0.62,,,1756964268.631,0.65,,
,,,,1753088461.166,0.62,,,1756964284.021,0.65,,
,,,,1753088476.556,0.62,,,1756964299.411,0.65,,
,,,,1753088491.946,0.62,,,1756964314.801,0.65,,
,,,,1753088507.336,0.62,,,1756964330.191,0.65,,
,,,,1753088522.726,0.62,,,1756964345.581,0.65,,
,,,,1753088538.116,0.62,,,1756964360.971,0.65,,
,,,,1753088553.506,0.62,,,1756964376.361,0.65,,
,,,,1753088568.896,0.62,,,1756964391.751,0.65,,
,,,,1753088584.286,0.62,,,1756964407.141,0.65,,
,,,,1753088599.676,0.62,,,1756964422.531,0.65,,
,,,,1753088615.066,0.62,,,1756964437.921,0.65,,
,,,,1753088630.466,0.62,,,1756964453.311,0.65,,
,,,,1753088645.856,0.62,,,1756964468.701,0.65,,
,,,,1753088661.256,0.62,,,1756964484.091,0.65,,
,,,,1753088676.646,0.63,,,1756964499.481,0.65,,
,,,,1753088692.036,0.63,,,1756964514.871,0.65,,
,,,,1753088707.426,0.62,,,1756964530.261,0.66,,
,,,,1753088722.816,0.63,,,1756964545.652,0.65,,
,,,,1753088738.206,0.63,,,1756964561.041,0.65,,
,,,,1753088753.596,0.63,,,1756964576.431,0.66,,
,,,,1753088768.986,0.62,,,1756964591.821,0.65,,
,,,,1753088784.376,0.62,,,1756964619.461,0.66,,
,,,,1753088799.766,0.62,,,1756964634.851,0.65,,
,,,,1753088815.155,0.62,,,1756964650.241,0.66,,
,,,,1753088830.546,0.63,,,1756964665.631,0.65,,
,,,,1753088845.936,0.62,,,1756964681.021,0.65,,
,,,,1753088861.326,0.62,,,1756964696.41,0.65,,
,,,,1753088876.716,0.63,,,,,,
,,,,1753088892.106,0.63,,,,,,
,,,,1753088907.496,0.62,,,,,,
,,,,1753088922.886,0.62,,,,,,
,,,,1753088938.276,0.62,,,,,,
,,,,1753088953.666,0.62,,,,,,
,,,,1753088969.056,0.62,,,,,,
,,,,1753088984.446,0.62,,,,,,
,,,,1753089012.086,0.63,,,,,,
,,,,1753089027.476,0.62,,,,,,
,,,,1753089042.866,0.63,,,,,,
,,,,1753089058.256,0.63,,,,,,
,,,,1753089073.646,0.63,,,,,,
,,,,1753089089.036,0.62,,,,,,
,,,,1753089104.426,0.62,,,,,,
,,,,1753089119.816,0.61,,,,,,
,,,,1753089135.206,0.62,,,,,,
,,,,1753089150.596,0.63,,,,,,
,,,,1753089165.986,0.63,,,,,,
,,,,1753089178.026,0.62,,,,,,
,,,,1753089193.416,0.62,,,,,,
,,,,1753089208.806,0.62,,,,,,
,,,,1753089224.196,0.62,,,,,,
,,,,1753089239.586,0.62,,,,,,
,,,,1753089254.976,0.62,,,,,,
,,,,1753089270.366,0.63,,,,,,
,,,,1753089285.756,0.63,,,,,,
,,,,1753089301.146,0.63,,,,,,
,,,,1753089316.536,0.63,,,,,,
,,,,1753089331.926,0.63,,,,,,
,,,,1753089347.316,0.63,,,,,,
,,,,1753089362.706,0.63,,,,,,
,,,,1753089378.096,0.63,,,,,,
,,,,1753089393.486,0.63,,,,,,
,,,,1753089408.876,0.63,,,,,,
,,,,1753089424.266,0.63,,,,,,
,,,,1753089439.656,0.63,,,,,,
,,,,1753089455.056,0.63,,,,,,
,,,,1753089470.446,0.63,,,,,,
,,,,1753089485.846,0.63,,,,,,
,,,,1753089501.235,0.63,,,,,,
,,,,1753089516.626,0.62,,,,,,
,,,,1753089532.016,0.63,,,,,,
,,,,1753089547.406,0.63,,,,,,
,,,,1753089562.796,0.62,,,,,,
,,,,1753089578.186,0.63,,,,,,
,,,,1753089593.576,0.63,,,,,,
,,,,1753089608.966,0.63,,,,,,
,,,,1753089624.356,0.63,,,,,,
,,,,1753089639.746,0.63,,,,,,
,,,,1753089655.136,0.62,,,,,,
,,,,1753089670.526,0.62,,,,,,
,,,,1753089685.916,0.63,,,,,,
,,,,1753089701.306,0.63,,,,,,
